LR_choice,LR_solution,abs_response_time,cumulative_reward,high_value_identity,id_choice,identity_choice,iti,reward,reward_f,reward_m,rt,run,stim_duration,stim_offset,stim_onset,subj_id,total_trial_time,trial,value_accuracy
,L,0.7669620513916016,-20,f,,,6.85151592468965,0,7,2,,1,1.491481065750122,1.5074551105499268,0.015974044799804688,6,1.501220941543579,0,
,L,9.123564958572388,-40,f,,,6.2892289277492335,0,8,1,,1,1.5002620220184326,9.873418092727661,8.373156070709229,6,1.501197099685669,1,
,L,16.93087410926819,-60,f,,,8.576546640901384,0,7,2,,1,1.4996120929718018,17.68006706237793,16.180454969406128,6,1.501121997833252,2,
76.0,R,26.933146953582764,-54,m,f,f,7.876855655659645,6,6,7,0.6625399589538574,1,1.4994230270385742,27.770029067993164,26.27060604095459,6,1.5011711120605469,3,False
76.0,R,36.38979697227478,-50,m,f,f,7.03590303396415,4,4,7,0.728672981262207,1,1.499497890472412,37.16061997413635,35.66112208366394,6,1.5010859966278076,4,False
82.0,R,44.85164499282837,-42,m,m,m,5.1274062124961,8,4,8,0.6421880722045898,1,1.5008010864257812,45.71025609970093,44.20945501327515,6,1.5001819133758545,5,True
76.0,R,51.49450397491455,-39,m,f,f,5.954232135175851,3,3,9,0.6433980464935303,1,1.4993929862976074,52.350497007369995,50.85110402107239,6,1.5011310577392578,6,False
76.0,R,59.01822209358215,-35,m,f,f,8.709206356131833,4,4,6,0.6936719417572021,1,1.4999029636383057,59.824450969696045,58.32454800605774,6,1.5012049674987793,7,False
82.0,L,69.15499496459961,-29,f,m,m,4.177632240198403,6,6,6,0.6074020862579346,1,1.499931812286377,70.04752397537231,68.54759216308594,6,1.5011379718780518,8,False
76.0,R,74.85197710990906,-26,m,f,f,4.3477309892458855,3,3,6,0.6132490634918213,1,1.500290870666504,75.73901796340942,74.23872709274292,6,1.5011858940124512,9,False
82.0,R,80.68468713760376,-20,m,m,m,5.9862840976437806,6,3,6,0.580085039138794,1,1.4999501705169678,81.60455012321472,80.10459995269775,6,1.5011539459228516,10,True
82.0,R,88.20172595977783,-15,m,m,m,4.594544064764661,5,3,5,0.5977909564971924,1,1.4994449615478516,89.10337901115417,87.60393404960632,6,1.5011019706726074,11,True
76.0,R,94.37938213348389,-12,m,f,f,6.1537636264903295,3,3,6,0.667910099029541,1,1.499452829360962,95.21092295646667,93.71147012710571,6,1.5012001991271973,12,False
82.0,R,101.98567795753479,-3,m,m,m,6.003931059353841,9,3,9,0.6087450981140137,1,1.4993069171905518,102.87623906135559,101.37693214416504,6,1.5011019706726074,13,True
76.0,R,109.44003415107727,4,m,f,f,5.129434747548822,7,7,8,0.5478880405426025,1,1.5006918907165527,110.3928370475769,108.89214515686035,6,1.501133918762207,14,False
82.0,L,116.09487009048462,9,f,m,m,4.426020126217239,5,7,5,0.5535149574279785,1,1.4999852180480957,117.04133915901184,115.54135394096375,6,1.50108003616333,15,False
76.0,L,122.09287309646606,16,f,f,f,6.1432087950210486,7,7,3,0.6110799312591553,1,1.500627040863037,122.98241901397705,121.48179197311401,6,1.5012011528015137,16,True
82.0,L,129.67567110061646,18,f,m,m,4.647477022638327,2,6,2,0.5363578796386719,1,1.4998810291290283,130.63919305801392,129.1393120288849,6,1.5010931491851807,17,False
,L,136.05555200576782,-2,f,,,7.299184691860415,0,7,7,,1,1.5000059604644775,136.8052110671997,135.30520510673523,6,1.5011069774627686,18,
82.0,L,144.67928814888,-1,f,m,m,8.793877202014528,1,7,1,0.5584681034088135,1,1.5002520084381104,145.62107110023499,144.12081909179688,6,1.5011310577392578,19,False
82.0,L,155.06507396697998,-3,f,m,m,5.357878704794586,-2,6,-2,0.636976957321167,1,1.4991559982299805,155.92725110054016,154.42809510231018,6,1.5008881092071533,20,False
82.0,L,162.028813123703,-5,f,m,m,8.434949998466058,-2,3,-2,0.726996898651123,1,1.499608039855957,162.80142211914062,161.30181407928467,6,1.501147985458374,21,False
,L,172.00008606910706,-25,f,,,4.3592932805131746,0,5,-2,,1,1.5005290508270264,172.7502191066742,171.24969005584717,6,1.501136064529419,22,
76.0,L,177.7304971218109,-19,f,f,f,5.853996789263673,6,6,-1,0.6058869361877441,1,1.500162124633789,178.62477111816406,177.12460899353027,6,1.5012450218200684,23,True
76.0,L,185.16418194770813,-15,f,f,f,4.018074591770686,4,4,1,0.6657099723815918,1,1.4998679161071777,185.99833798408508,184.4984700679779,6,1.500241994857788,24,True
76.0,L,190.68325209617615,-8,f,f,f,4.498865453572135,7,7,1,0.6517119407653809,1,1.4985809326171875,191.53011894226074,190.03153800964355,6,1.5011909008026123,25,True
82.0,L,196.76788711547852,-6,f,m,m,5.504263975584856,2,8,2,0.7212119102478027,1,1.4996371269226074,197.54631114006042,196.04667401313782,6,1.501007080078125,26,False
76.0,L,203.60683393478394,1,f,f,f,8.433036092595268,7,7,0,0.5443480014801025,1,1.499603033065796,204.5620880126953,203.06248497962952,6,1.501129150390625,27,True
,L,213.76185202598572,-19,f,,,6.158185036697687,0,7,2,,1,1.4989769458770752,214.5104160308838,213.0114390850067,6,1.5012421607971191,28,
76.0,L,221.30955410003662,-12,f,f,f,4.241222800083319,7,7,2,0.6245150566101074,1,1.4991848468780518,222.18422293663025,220.6850380897522,6,1.5004699230194092,29,True
76.0,L,227.1074299812317,-4,f,f,f,4.915725858973008,8,8,3,0.6661701202392578,1,1.5013840198516846,227.94263911247253,226.44125509262085,6,1.5005450248718262,30,True
82.0,L,233.48204803466797,-2,f,m,m,4.354838629503759,2,7,2,0.6072409152984619,1,1.5001437664031982,234.3749499320984,232.8748061656952,6,1.5003209114074707,31,False
76.0,L,239.2849359512329,5,f,f,f,6.093890551667687,7,7,1,0.5355310440063477,1,1.5000920295715332,240.24949598312378,238.74940395355225,6,1.5011589527130127,32,True
76.0,L,246.9697549343109,13,f,f,f,7.370944277042506,8,8,4,0.6142511367797852,1,1.5011539459228516,247.85665702819824,246.3555030822754,6,1.5007920265197754,33,True
82.0,L,255.79061603546143,16,f,m,m,9.716588956195617,3,8,3,0.5517349243164062,1,1.4997448921203613,256.73862504959106,255.2388801574707,6,1.5001640319824219,34,False
,L,267.21992206573486,-4,f,,,5.8439922582667805,0,8,2,,1,1.5002968311309814,267.9698259830475,266.4695291519165,6,1.5011370182037354,35,
82.0,L,274.5261380672455,-2,f,m,m,5.658149934467041,2,9,2,0.6986539363861084,1,1.500540018081665,275.32802295684814,273.8274829387665,6,1.5012080669403076,36,False
82.0,L,281.5949580669403,4,f,m,m,4.277999977144801,6,9,6,0.593513011932373,1,1.4991209506988525,282.50056505203247,281.0014441013336,6,1.5004310607910156,37,False
82.0,L,287.3259930610657,11,f,m,m,4.595716346905607,7,11,7,0.5342679023742676,1,1.5002939701080322,288.29201793670654,286.7917239665985,6,1.5010099411010742,38,False
82.0,L,293.42157101631165,18,f,m,m,5.238369307989541,7,7,7,0.5135159492492676,1,1.491103172302246,294.3991551399231,292.90805196762085,6,1.5009050369262695,39,False
76.0,L,300.29736399650574,26,f,f,f,4.058939139467364,8,8,5,0.6485710144042969,1,1.5004069805145264,301.14919900894165,299.6487920284271,6,1.5002591609954834,40,True
82.0,R,305.86827993392944,37,m,m,m,4.199908165850647,11,7,11,0.6452739238739014,1,1.4993488788604736,306.7223539352417,305.2230050563812,6,1.5001919269561768,41,True
76.0,R,311.508278131485,39,m,f,f,7.6533968594110595,2,2,9,0.5691540241241455,1,1.4998359680175781,312.4389591217041,310.9391231536865,6,1.5002460479736328,42,False
82.0,R,320.67395305633545,47,m,m,m,5.3781421683391715,8,1,8,0.569133996963501,1,1.499433994293213,321.60425209999084,320.10481810569763,6,1.5011019706726074,43,True
82.0,R,327.4898769855499,52,m,m,m,6.1540495160329725,5,0,5,0.4948241710662842,1,1.4995341300964355,328.49456810951233,326.9950339794159,6,1.5002729892730713,44,True
,R,335.4111239910126,32,m,,,7.439289853690102,0,2,5,,1,1.5005359649658203,336.1613221168518,334.660786151886,6,1.501089096069336,45,
76.0,L,344.26738715171814,36,f,f,f,5.278678621894885,4,4,1,0.6497180461883545,1,1.5004260540008545,345.1180920600891,343.61766600608826,6,1.5011348724365234,46,True
76.0,L,351.01819109916687,42,f,f,f,8.084765119184912,6,6,3,0.6012139320373535,1,1.4911870956420898,351.9081621170044,350.4169750213623,6,1.501213788986206,47,True
82.0,R,360.5770721435547,50,m,m,m,8.880825312264523,8,3,8,0.5703229904174805,1,1.5000340938568115,361.5067801475525,360.0067460536957,6,1.5006601810455322,48,True
76.0,R,370.90490913391113,54,m,f,f,4.858278984126053,4,4,5,0.4988729953765869,1,1.4987080097198486,371.9047429561615,370.40603494644165,6,1.5011231899261475,49,False
76.0,R,377.2635610103607,56,m,f,f,4.110721338179773,2,2,4,0.48348116874694824,1,1.4989910125732422,378.2790701389313,376.78007912635803,6,1.500535011291504,50,False
76.0,R,382.8675060272217,56,m,f,f,5.570479403423464,0,0,4,0.4642789363861084,1,1.5000648498535156,383.90329098701477,382.40322613716125,6,1.501094102859497,51,False
76.0,R,390.0652289390564,56,m,f,f,4.592568682750794,0,0,6,0.5789070129394531,1,1.5004329681396484,390.98675298690796,389.4863200187683,6,1.5009050369262695,52,False
76.0,R,396.24837493896484,55,m,f,f,9.737942087829733,-1,-1,7,0.6546630859375,1,1.4998221397399902,397.0935311317444,395.5937089920044,6,1.5011999607086182,53,False
82.0,R,407.4008800983429,63,m,m,m,4.857849940284779,8,-2,8,0.5505039691925049,1,1.4999971389770508,408.35037207603455,406.8503749370575,6,1.5001590251922607,54,True
76.0,R,413.71477007865906,61,m,f,f,6.150074562928602,-2,-2,9,0.4900779724121094,1,1.4996368885040283,414.72432804107666,413.22469115257263,6,1.5003161430358887,55,False
76.0,R,421.4788751602173,57,m,f,f,4.31213858927941,-4,-4,11,0.5881540775299072,1,1.4994518756866455,422.3901720046997,420.89072012901306,6,1.5005650520324707,56,False
82.0,R,427.39650797843933,64,m,m,m,4.368622347578747,7,-1,7,0.6819190979003906,1,1.499709129333496,428.2142961025238,426.7145869731903,6,1.5011780261993408,57,True
76.0,R,433.29120802879333,68,m,f,f,7.276617461060432,4,4,7,0.6945400238037109,1,1.5001120567321777,434.09677815437317,432.596666097641,6,1.5001978874206543,58,False
,R,442.1377010345459,48,m,,,4.771466460405409,0,3,4,,1,1.5000720024108887,442.88737201690674,441.38730001449585,6,1.500791072845459,59,
