reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
82,17,0,2,50,0.98,6,0,-65,f,m1~17-v1.tif,f1~11-v1.tif,5.412206732502073
111,6,1,2,50,0.98,6,0,-105,f,m1~17-v1.tif,f1~11-v1.tif,4.59652727524614
106,12,2,2,50,0.98,6,0,-94,f,m1~17-v1.tif,f1~11-v1.tif,4.7403694470582405
80,-5,3,2,50,0.98,6,0,-85,f,m1~17-v1.tif,f1~11-v1.tif,5.638125311946301
56,-1,4,2,50,0.98,6,0,-57,f,m1~17-v1.tif,f1~11-v1.tif,5.477855398173354
53,5,5,2,50,0.98,6,0,-48,f,m1~17-v1.tif,f1~11-v1.tif,4.823712428402483
56,26,6,2,50,0.98,6,0,-30,f,m1~17-v1.tif,f1~11-v1.tif,4.616281473064621
57,36,7,2,50,0.98,6,0,-21,f,m1~17-v1.tif,f1~11-v1.tif,4.099495935618293
45,11,8,2,50,0.98,6,0,-34,f,m1~17-v1.tif,f1~11-v1.tif,4.009462994955136
53,44,9,2,50,0.98,6,0,-9,f,m1~17-v1.tif,f1~11-v1.tif,4.42617905222445
63,60,10,2,50,0.98,6,0,-3,f,m1~17-v1.tif,f1~11-v1.tif,6.533244510464327
94,44,11,2,50,0.98,6,0,-50,f,m1~17-v1.tif,f1~11-v1.tif,4.25824525545024
95,46,12,2,50,0.98,6,0,-49,f,m1~17-v1.tif,f1~11-v1.tif,4.28425068431405
92,22,13,2,50,0.98,6,0,-70,f,m1~17-v1.tif,f1~11-v1.tif,4.478502497419676
59,47,14,2,50,0.98,6,0,-12,f,m1~17-v1.tif,f1~11-v1.tif,4.3011565206290525
60,37,15,2,50,0.98,6,0,-23,f,m1~17-v1.tif,f1~11-v1.tif,4.198189284088219
58,29,16,2,50,0.98,6,0,-29,f,m1~17-v1.tif,f1~11-v1.tif,6.0515221781660244
15,46,17,2,50,0.98,6,0,31,m,m1~17-v1.tif,f1~11-v1.tif,8.903610637507658
16,74,18,2,50,0.98,6,0,58,m,m1~17-v1.tif,f1~11-v1.tif,9.220453262696953
0,49,19,2,50,0.98,6,0,49,m,m1~17-v1.tif,f1~11-v1.tif,5.428814850902638
33,40,20,2,50,0.98,6,0,7,m,m1~17-v1.tif,f1~11-v1.tif,4.321085146488345
53,21,21,2,50,0.98,6,0,-32,f,m1~17-v1.tif,f1~11-v1.tif,4.23722529400911
16,28,22,2,50,0.98,6,0,12,m,m1~17-v1.tif,f1~11-v1.tif,4.3467713176153255
50,2,23,2,50,0.98,6,0,-48,f,m1~17-v1.tif,f1~11-v1.tif,4.5036403230353175
48,-14,24,2,50,0.98,6,0,-62,f,m1~17-v1.tif,f1~11-v1.tif,6.1049100085721175
36,16,25,2,50,0.98,6,0,-20,f,m1~17-v1.tif,f1~11-v1.tif,4.014177398813118
51,71,26,2,50,0.98,6,0,20,m,m1~17-v1.tif,f1~11-v1.tif,8.517785447281964
26,76,27,2,50,0.98,6,0,50,m,m1~17-v1.tif,f1~11-v1.tif,4.693848828706306
39,47,28,2,50,0.98,6,0,8,m,m1~17-v1.tif,f1~11-v1.tif,9.660711165381645
44,69,29,2,50,0.98,6,0,25,m,m1~17-v1.tif,f1~11-v1.tif,5.396662917203985
56,68,30,2,50,0.98,6,0,12,m,m1~17-v1.tif,f1~11-v1.tif,8.093462815623603
46,70,31,2,50,0.98,6,0,24,m,m1~17-v1.tif,f1~11-v1.tif,4.42285033890315
35,77,32,2,50,0.98,6,0,42,m,m1~17-v1.tif,f1~11-v1.tif,4.204463086115109
19,77,33,2,50,0.98,6,0,58,m,m1~17-v1.tif,f1~11-v1.tif,5.8785205605318165
35,73,34,2,50,0.98,6,0,38,m,m1~17-v1.tif,f1~11-v1.tif,6.685807781837297
64,71,35,2,50,0.98,6,0,7,m,m1~17-v1.tif,f1~11-v1.tif,4.314408664629215
44,88,36,2,50,0.98,6,0,44,m,m1~17-v1.tif,f1~11-v1.tif,5.283679689509709
75,101,37,2,50,0.98,6,0,26,m,m1~17-v1.tif,f1~11-v1.tif,4.709869885785826
77,109,38,2,50,0.98,6,0,32,m,m1~17-v1.tif,f1~11-v1.tif,6.148845270942985
37,101,39,2,50,0.98,6,0,64,m,m1~17-v1.tif,f1~11-v1.tif,4.987060820151366
45,71,40,2,50,0.98,6,0,26,m,m1~17-v1.tif,f1~11-v1.tif,4.443787305151734
32,59,41,2,50,0.98,6,0,27,m,m1~17-v1.tif,f1~11-v1.tif,6.3135421363002955
45,59,42,2,50,0.98,6,0,14,m,m1~17-v1.tif,f1~11-v1.tif,7.9911337499468456
69,68,43,2,50,0.98,6,0,-1,f,m1~17-v1.tif,f1~11-v1.tif,7.173315921973907
70,59,44,2,50,0.98,6,0,-11,f,m1~17-v1.tif,f1~11-v1.tif,9.141693510857476
56,25,45,2,50,0.98,6,0,-31,f,m1~17-v1.tif,f1~11-v1.tif,7.621876300954357
71,9,46,2,50,0.98,6,0,-62,f,m1~17-v1.tif,f1~11-v1.tif,9.405358194348917
56,-18,47,2,50,0.98,6,0,-74,f,m1~17-v1.tif,f1~11-v1.tif,9.290372366204874
60,11,48,2,50,0.98,6,0,-49,f,m1~17-v1.tif,f1~11-v1.tif,8.896038641821413
35,22,49,2,50,0.98,6,0,-13,f,m1~17-v1.tif,f1~11-v1.tif,8.570211899212993
63,42,50,2,50,0.98,6,0,-21,f,m1~17-v1.tif,f1~11-v1.tif,9.805877591706277
77,68,51,2,50,0.98,6,0,-9,f,m1~17-v1.tif,f1~11-v1.tif,4.803693951018412
98,48,52,2,50,0.98,6,0,-50,f,m1~17-v1.tif,f1~11-v1.tif,4.979800513136509
86,62,53,2,50,0.98,6,0,-24,f,m1~17-v1.tif,f1~11-v1.tif,4.2271952766788585
87,32,54,2,50,0.98,6,0,-55,f,m1~17-v1.tif,f1~11-v1.tif,9.176674628857166
78,16,55,2,50,0.98,6,0,-62,f,m1~17-v1.tif,f1~11-v1.tif,4.741901937358329
77,24,56,2,50,0.98,6,0,-53,f,m1~17-v1.tif,f1~11-v1.tif,8.540926616087706
71,35,57,2,50,0.98,6,0,-36,f,m1~17-v1.tif,f1~11-v1.tif,4.49372211686881
64,46,58,2,50,0.98,6,0,-18,f,m1~17-v1.tif,f1~11-v1.tif,4.290353371896779
32,31,59,2,50,0.98,6,0,-1,f,m1~17-v1.tif,f1~11-v1.tif,4.652730273195853
