reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
7,1,0,2,50,0.98,6,0,-6,f,m2~27-v1.tif,f4~44-v1.tif,5.89534126295301
7,0,1,2,50,0.98,6,0,-7,f,m5~55-v1.tif,f2~25-v1.tif,4.54533467947958
5,-2,2,2,50,0.98,6,0,-7,f,m5~56-v1.tif,f1~16-v1.tif,5.049737341015173
7,-3,3,2,50,0.98,6,0,-10,f,m1~18-v1.tif,f2~23-v1.tif,4.318487297862
8,-1,4,2,50,0.98,6,0,-9,f,m2~210-v1.tif,f1~12-v1.tif,5.161634246624978
6,0,5,2,50,0.98,6,0,-6,f,m5~56-v1.tif,f3~35-v1.tif,5.192348263991516
5,-1,6,2,50,0.98,6,0,-6,f,m4~45-v1.tif,f5~510-v1.tif,4.299535657780433
2,1,7,2,50,0.98,6,0,-1,f,m5~55-v1.tif,f3~39-v1.tif,8.329215710068443
4,4,8,2,50,0.98,6,0,0,f,m5~56-v1.tif,f5~53-v1.tif,5.2351619445340205
5,3,9,2,50,0.98,6,0,-2,f,m2~22-v1.tif,f3~36-v1.tif,4.739346706021623
9,4,10,2,50,0.98,6,0,-5,f,m5~51-v1.tif,f1~15-v1.tif,7.3167827997751065
10,4,11,2,50,0.98,6,0,-6,f,m5~56-v1.tif,f5~55-v1.tif,4.973585222544275
8,3,12,2,50,0.98,6,0,-5,f,m2~23-v1.tif,f5~510-v1.tif,4.657335029342356
5,0,13,2,50,0.98,6,0,-5,f,m4~410-v1.tif,f2~21-v1.tif,5.439017910808775
3,1,14,2,50,0.98,6,0,-2,f,m2~21-v1.tif,f5~54-v1.tif,5.136556577462798
5,4,15,2,50,0.98,6,0,-1,f,m4~43-v1.tif,f3~35-v1.tif,4.226505033885044
4,5,16,2,50,0.98,6,0,1,m,m5~55-v1.tif,f3~37-v1.tif,4.889204375459092
