reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
6,1,0,1,50,0.98,6,0,-5,f,m4~41-v1.tif,f5~58-v1.tif,5.113060444529286
5,2,1,1,50,0.98,6,0,-3,f,m2~21-v1.tif,f5~54-v1.tif,5.932833771265953
5,3,2,1,50,0.98,6,0,-2,f,m2~27-v1.tif,f1~12-v1.tif,5.897296221836761
4,3,3,1,50,0.98,6,0,-1,f,m1~19-v1.tif,f3~39-v1.tif,4.464399982606677
6,4,4,1,50,0.98,6,0,-2,f,m1~17-v1.tif,f1~15-v1.tif,4.884525401485718
8,3,5,1,50,0.98,6,0,-5,f,m3~36-v1.tif,f3~36-v1.tif,4.925045805481247
5,3,6,1,50,0.98,6,0,-2,f,m2~210-v1.tif,f2~23-v1.tif,6.228822070231905
4,2,7,1,50,0.98,6,0,-2,f,m4~49-v1.tif,f3~32-v1.tif,4.35990773356167
4,2,8,1,50,0.98,6,0,-2,f,m4~42-v1.tif,f5~52-v1.tif,4.689252705610726
0,0,9,1,50,0.98,6,0,0,f,m5~52-v1.tif,f5~54-v1.tif,8.816634803370377
3,4,10,1,50,0.98,6,0,1,m,m1~15-v1.tif,f5~56-v1.tif,8.098505006902966
2,7,11,1,50,0.98,6,0,5,m,m5~56-v1.tif,f3~36-v1.tif,7.384353149532416
1,7,12,1,50,0.98,6,0,6,m,m1~18-v1.tif,f4~46-v1.tif,4.930901370075194
-2,7,13,1,50,0.98,6,0,9,m,m5~54-v1.tif,f5~54-v1.tif,4.195771833344973
0,5,14,1,50,0.98,6,0,5,m,m5~52-v1.tif,f1~14-v1.tif,9.70734710639973
1,6,15,1,50,0.98,6,0,5,m,m3~32-v1.tif,f5~51-v1.tif,4.009005560736029
-1,6,16,1,50,0.98,6,0,7,m,m2~26-v1.tif,f4~41-v1.tif,5.037299538342394
2,5,17,1,50,0.98,6,0,3,m,m3~32-v1.tif,f2~23-v1.tif,5.7732988038500705
1,4,18,1,50,0.98,6,0,3,m,m4~41-v1.tif,f4~42-v1.tif,5.908916231690557
4,3,19,1,50,0.98,6,0,-1,f,m1~13-v1.tif,f5~56-v1.tif,7.3138987641555
5,4,20,1,50,0.98,6,0,-1,f,m5~54-v1.tif,f1~13-v1.tif,6.459573592585013
5,7,21,1,50,0.98,6,0,2,m,m3~35-v1.tif,f2~21-v1.tif,8.145367381605627
6,9,22,1,50,0.98,6,0,3,m,m3~33-v1.tif,f2~22-v1.tif,4.042898310026054
7,5,23,1,50,0.98,6,0,-2,f,m1~16-v1.tif,f3~39-v1.tif,9.785335222408554
7,3,24,1,50,0.98,6,0,-4,f,m3~33-v1.tif,f2~21-v1.tif,5.001229229447797
6,3,25,1,50,0.98,6,0,-3,f,m1~18-v1.tif,f3~38-v1.tif,4.247819397351646
5,6,26,1,50,0.98,6,0,1,m,m3~33-v1.tif,f3~33-v1.tif,4.156884778388915
6,8,27,1,50,0.98,6,0,2,m,m2~24-v1.tif,f4~46-v1.tif,7.27307861247793
9,5,28,1,50,0.98,6,0,-4,f,m1~19-v1.tif,f1~11-v1.tif,4.962595464999676
8,5,29,1,50,0.98,6,0,-3,f,m3~35-v1.tif,f1~13-v1.tif,5.8050088206484975
7,5,30,1,50,0.98,6,0,-2,f,m4~43-v1.tif,f5~57-v1.tif,4.115032979451511
4,5,31,1,50,0.98,6,0,1,m,m1~12-v1.tif,f3~38-v1.tif,5.070141310654496
4,8,32,1,50,0.98,6,0,4,m,m4~46-v1.tif,f5~57-v1.tif,8.35672811698812
3,6,33,1,50,0.98,6,0,3,m,m3~36-v1.tif,f3~36-v1.tif,4.535174766866733
1,8,34,1,50,0.98,6,0,7,m,m5~53-v1.tif,f4~44-v1.tif,4.861243292319769
1,7,35,1,50,0.98,6,0,6,m,m4~48-v1.tif,f3~35-v1.tif,5.184106893590716
3,9,36,1,50,0.98,6,0,6,m,m2~24-v1.tif,f2~21-v1.tif,9.095313121881373
2,9,37,1,50,0.98,6,0,7,m,m1~18-v1.tif,f3~38-v1.tif,5.478324002452798
2,7,38,1,50,0.98,6,0,5,m,m2~29-v1.tif,f3~36-v1.tif,7.860055777101135
4,5,39,1,50,0.98,6,0,1,m,m5~54-v1.tif,f3~31-v1.tif,4.161320970610644
2,3,40,1,50,0.98,6,0,1,m,m5~56-v1.tif,f3~39-v1.tif,9.05089903802088
4,3,41,1,50,0.98,6,0,-1,f,m3~34-v1.tif,f5~55-v1.tif,5.015940916790405
8,5,42,1,50,0.98,6,0,-3,f,m3~33-v1.tif,f3~34-v1.tif,9.997232165507203
6,1,43,1,50,0.98,6,0,-5,f,m2~27-v1.tif,f5~54-v1.tif,5.661010037284944
7,3,44,1,50,0.98,6,0,-4,f,m4~49-v1.tif,f2~26-v1.tif,6.594701861739868
8,3,45,1,50,0.98,6,0,-5,f,m2~27-v1.tif,f5~52-v1.tif,8.513648046792682
5,2,46,1,50,0.98,6,0,-3,f,m4~44-v1.tif,f5~59-v1.tif,8.878204031098381
5,1,47,1,50,0.98,6,0,-4,f,m1~15-v1.tif,f4~42-v1.tif,5.9307736477577055
4,4,48,1,50,0.98,6,0,0,f,m4~44-v1.tif,f2~26-v1.tif,6.9246840490187775
4,2,49,1,50,0.98,6,0,-2,f,m4~43-v1.tif,f3~34-v1.tif,6.690561133311145
0,3,50,1,50,0.98,6,0,3,m,m2~22-v1.tif,f2~25-v1.tif,8.91192339757314
-2,3,51,1,50,0.98,6,0,5,m,m1~12-v1.tif,f5~510-v1.tif,5.381278202845533
0,1,52,1,50,0.98,6,0,1,m,m2~26-v1.tif,f5~59-v1.tif,6.02137047682346
3,1,53,1,50,0.98,6,0,-2,f,m4~49-v1.tif,f5~510-v1.tif,6.382354209208753
4,4,54,1,50,0.98,6,0,0,f,m4~45-v1.tif,f5~510-v1.tif,5.417896728390314
3,6,55,1,50,0.98,6,0,3,m,m4~44-v1.tif,f4~44-v1.tif,5.984928030219046
2,8,56,1,50,0.98,6,0,6,m,m4~410-v1.tif,f5~53-v1.tif,5.2521312367854485
2,7,57,1,50,0.98,6,0,5,m,m4~44-v1.tif,f1~11-v1.tif,6.428404924760805
4,6,58,1,50,0.98,6,0,2,m,m1~12-v1.tif,f2~21-v1.tif,5.1037737861242665
6,7,59,1,50,0.98,6,0,1,m,m2~29-v1.tif,f3~31-v1.tif,9.069887214129318
